activity_id,name_th,category,cognitive_benefit,difficulty,duration_min,description
0,ไทเก็ก,exercise,0.489,easy,15,ไทเก็ก เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
1,โยคะเบาๆ,exercise,0.392,easy,20,โยคะเบาๆ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
2,รำพื้นบ้าน,exercise,0.489,easy,60,รำพื้นบ้าน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 60 นาที
3,เดินเร็วในสวน,exercise,0.464,hard,15,เดินเร็วในสวน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
4,ออกกำลังบนเก้าอี้,exercise,0.385,easy,15,ออกกำลังบนเก้าอี้ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 15 นาที
5,ยืดเหยียดยามเช้า,exercise,0.466,easy,45,ยืดเหยียดยามเช้า เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 45 นาที
6,ฟิตเนสเบาๆ,exercise,0.485,hard,20,ฟิตเนสเบาๆ เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
7,รำมวยจีน,exercise,0.405,hard,30,รำมวยจีน เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 30 นาที
8,แอโรบิกผู้สูงวัย,exercise,0.5,hard,30,แอโรบิกผู้สูงวัย เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 30 นาที
9,เดินวันละ 1 กม.,exercise,0.482,easy,20,เดินวันละ 1 กม. เป็นกิจกรรมประเภทการออกกำลังกายเบาๆ ใช้เวลาประมาณ 20 นาที
10,เกมจับคู่ภาพ,cognitive,0.445,medium,30,เกมจับคู่ภาพ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
11,ครอสเวิร์ดไทย,cognitive,0.435,medium,15,ครอสเวิร์ดไทย เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
12,ซูโดกุ,cognitive,0.556,easy,30,ซูโดกุ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
13,หมากรุก,cognitive,0.549,hard,30,หมากรุก เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
14,หมากกระดาน,cognitive,0.44,medium,45,หมากกระดาน เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 45 นาที
15,จดจำลำดับเลข,cognitive,0.508,medium,15,จดจำลำดับเลข เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
16,เกมความจำ,cognitive,0.512,hard,30,เกมความจำ เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 30 นาที
17,อ่านนิทาน-สรุป,cognitive,0.526,easy,15,อ่านนิทาน-สรุป เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
18,ทายปัญหา,cognitive,0.557,medium,15,ทายปัญหา เป็นกิจกรรมประเภทฝึกความจำ/สมอง ใช้เวลาประมาณ 15 นาที
